risk_id,initiative_id,title,description,category,probability,impact,score,exposure_usd,mitigation,owner,status,raised_date,target_resolution_date
RSK-0088,INIT-040,Key SME shared across three concurrent initiatives,"Capacity risk arising from contention for scarce specialist skills. Carried on Overtime & Absence Management (INIT-040, HR / People) and reported into the monthly PMO review.",Resource,4,5,20,149000,Formal allocation agreement; backfill the BAU role,Nadia Doherty,Mitigating,2026-08-11,2026-10-10
RSK-0089,INIT-041,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Contractor to Permanent Conversion (INIT-041, HR / People) and reported into the monthly PMO review.",Financial,2,5,10,83000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Rohan Achebe,Open,2026-06-22,2026-07-22
RSK-0090,INIT-041,Legacy interfaces poorly documented,"Technical uncertainty that may require rework or additional discovery effort. Carried on Contractor to Permanent Conversion (INIT-041, HR / People) and reported into the monthly PMO review.",Technical,4,4,16,134000,Fund a discovery spike; engage original vendor for schema walkthrough,Gregor MacAulay,Open,2026-01-17,2026-03-18
RSK-0091,INIT-042,Legacy interfaces poorly documented,"Technical uncertainty that may require rework or additional discovery effort. Carried on Customer Segmentation & Pricing Analytics (INIT-042, Growth / Commercial) and reported into the monthly PMO review.",Technical,3,2,6,42000,Fund a discovery spike; engage original vendor for schema walkthrough,Nadia Adeyemi,Open,2026-07-17,2026-10-15
RSK-0092,INIT-043,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on E-Commerce Channel Launch (INIT-043, Growth / Commercial) and reported into the monthly PMO review.",Resource,3,1,3,38000,Interim contractor while permanent recruitment completes,Anika Whitfield,Closed,2026-12-22,2027-03-22
RSK-0093,INIT-044,Critical path compresses if design sign-off slips,"Schedule and execution risk that could push the critical path to the right. Carried on Key Account Management Programme (INIT-044, Growth / Commercial) and reported into the monthly PMO review.",Delivery,3,5,15,260000,Weekly design authority; pre-book sign-off slots with sponsor,Erik Sandison,Mitigating,2026-06-19,2026-08-03
RSK-0094,INIT-044,Supply chain analyst capacity absorbed by peak trading,"Capacity risk arising from contention for scarce specialist skills. Carried on Key Account Management Programme (INIT-044, Growth / Commercial) and reported into the monthly PMO review.",Resource,5,5,25,380000,Ring-fence project allocation; agree BAU cover with the site leads,Nuala Boateng,Open,2026-05-19,2026-07-03
RSK-0095,INIT-044,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Key Account Management Programme (INIT-044, Growth / Commercial) and reported into the monthly PMO review.",Change/Adoption,5,3,15,94000,Early engagement with employee representatives; phased site-by-site rollout,Nuala Boateng,Open,2026-05-16,2026-09-13
RSK-0096,INIT-045,FX movement erodes savings in non-GBP contracts,"Risk to the funding envelope or to the credibility of the benefit case. Carried on New Market Entry - Nordics (INIT-045, Growth / Commercial) and reported into the monthly PMO review.",Financial,2,2,4,19000,Hedge material contracts; report benefits at constant currency,Freya Fraser,Open,2027-05-28,2027-06-27
RSK-0097,INIT-046,Vendor resource ramp slower than contracted,"Third-party performance risk against the contracted scope and timeline. Carried on Aftermarket Services Proposition (INIT-046, Growth / Commercial) and reported into the monthly PMO review.",Vendor,3,1,3,66000,Service credits in the SOW; escalate at monthly vendor governance,Priya Farouk,Closed,2026-12-29,2027-03-29
RSK-0098,INIT-047,Vendor resource ramp slower than contracted,"Third-party performance risk against the contracted scope and timeline. Carried on Subscription Maintenance Offering (INIT-047, Growth / Commercial) and reported into the monthly PMO review.",Vendor,1,1,1,20000,Service credits in the SOW; escalate at monthly vendor governance,Struan Whitfield,Mitigating,2026-12-09,2027-03-09
RSK-0099,INIT-047,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Subscription Maintenance Offering (INIT-047, Growth / Commercial) and reported into the monthly PMO review.",Financial,2,2,4,88000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Struan Whitfield,Open,2026-12-10,2027-02-08
RSK-0100,INIT-047,Insufficient training capacity in peak season,"People-side risk: the change may not stick without sustained reinforcement. Carried on Subscription Maintenance Offering (INIT-047, Growth / Commercial) and reported into the monthly PMO review.",Change/Adoption,3,4,12,293000,Move to blended e-learning; train-the-trainer in each depot,Struan Whitfield,Mitigating,2026-12-09,2027-01-08
RSK-0101,INIT-048,Savings double-counted with another initiative,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Bid & Tender Win-Rate Improvement (INIT-048, Growth / Commercial) and reported into the monthly PMO review.",Financial,3,5,15,247000,Benefit ownership matrix agreed with Finance; single booking point,Amara Duval,Open,2026-02-17,2026-05-18
RSK-0102,INIT-048,Insufficient training capacity in peak season,"People-side risk: the change may not stick without sustained reinforcement. Carried on Bid & Tender Win-Rate Improvement (INIT-048, Growth / Commercial) and reported into the monthly PMO review.",Change/Adoption,4,4,16,169000,Move to blended e-learning; train-the-trainer in each depot,Nuala Petrova,Open,2026-05-29,2026-08-27
RSK-0103,INIT-048,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Bid & Tender Win-Rate Improvement (INIT-048, Growth / Commercial) and reported into the monthly PMO review.",Delivery,4,3,12,92000,Change control board; scope baselined and re-approved monthly,Clara Whitfield,Open,2026-02-09,2026-03-11
RSK-0104,INIT-048,Data engineering demand exceeds the available pool,"Capacity risk arising from contention for scarce specialist skills. Carried on Bid & Tender Win-Rate Improvement (INIT-048, Growth / Commercial) and reported into the monthly PMO review.",Resource,2,2,4,24000,Prioritisation forum; contract two additional engineers,Nuala Petrova,Closed,2026-06-29,2026-08-13
RSK-0105,INIT-049,Frontline adoption below target after go-live,"People-side risk: the change may not stick without sustained reinforcement. Carried on Customer Self-Service Portal (INIT-049, Growth / Commercial) and reported into the monthly PMO review.",Change/Adoption,3,4,12,120000,Super-user network; adoption dashboard tied to manager objectives,Callum Nair,Open,2026-05-25,2026-07-09
RSK-0106,INIT-050,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Indirect Spend Category Reset (INIT-050, Cost Reduction) and reported into the monthly PMO review.",Delivery,3,2,6,103000,Change control board; scope baselined and re-approved monthly,Beatriz Mehta,Mitigating,2026-03-04,2026-05-03
RSK-0107,INIT-050,Environment availability constrains parallel testing,"Technical uncertainty that may require rework or additional discovery effort. Carried on Indirect Spend Category Reset (INIT-050, Cost Reduction) and reported into the monthly PMO review.",Technical,3,5,15,172000,Build second test environment; stagger test cycles,Zoya Nair,Mitigating,2026-04-14,2026-05-14
RSK-0108,INIT-051,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Real Estate Footprint Rationalisation (INIT-051, Cost Reduction) and reported into the monthly PMO review.",Financial,3,2,6,40000,Phase the spend; seek bridge funding from the contingency pot,Nuala Novak,Open,2026-10-19,2027-02-16
RSK-0109,INIT-051,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Real Estate Footprint Rationalisation (INIT-051, Cost Reduction) and reported into the monthly PMO review.",Delivery,3,2,6,54000,Change control board; scope baselined and re-approved monthly,Beatriz Whitfield,Closed,2026-10-18,2026-12-02
RSK-0110,INIT-051,Change manager vacancy unfilled for two months,"Capacity risk arising from contention for scarce specialist skills. Carried on Real Estate Footprint Rationalisation (INIT-051, Cost Reduction) and reported into the monthly PMO review.",Resource,3,3,9,60000,Interim contractor while permanent recruitment completes,Tomas Fraser,Mitigating,2026-10-19,2026-11-18
RSK-0111,INIT-051,Testing window overlaps with year-end freeze,"Schedule and execution risk that could push the critical path to the right. Carried on Real Estate Footprint Rationalisation (INIT-051, Cost Reduction) and reported into the monthly PMO review.",Delivery,2,5,10,99000,Negotiate early freeze exemption; shift regression to November,Tessa Sandison,Open,2026-10-18,2026-12-17
RSK-0112,INIT-052,Data residency requirements not met in target region,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on IT Application Portfolio Rationalisation (INIT-052, Cost Reduction) and reported into the monthly PMO review.",Regulatory,3,2,6,19000,Regional data enclave; legal review before cutover,Freya Mehta,Closed,2026-07-18,2026-11-15
RSK-0113,INIT-053,Data engineering demand exceeds the available pool,"Capacity risk arising from contention for scarce specialist skills. Carried on Telecoms & Connectivity Renegotiation (INIT-053, Cost Reduction) and reported into the monthly PMO review.",Resource,5,4,20,237000,Prioritisation forum; contract two additional engineers,Freya Mendes,Mitigating,2025-11-16,2026-01-15
RSK-0114,INIT-053,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Telecoms & Connectivity Renegotiation (INIT-053, Cost Reduction) and reported into the monthly PMO review.",Financial,3,5,15,164000,Phase the spend; seek bridge funding from the contingency pot,Tomas Achebe,Open,2026-03-28,2026-05-27
RSK-0115,INIT-053,Scope creep from business unit change requests,"Schedule and execution risk that could push the critical path to the right. Carried on Telecoms & Connectivity Renegotiation (INIT-053, Cost Reduction) and reported into the monthly PMO review.",Delivery,5,3,15,231000,Change control board; scope baselined and re-approved monthly,Devon Adeyemi,Open,2026-03-21,2026-06-19
RSK-0116,INIT-054,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on Energy Efficiency & Utilities Programme (INIT-054, Cost Reduction) and reported into the monthly PMO review.",Technical,3,5,15,45000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Erik Rahman,Mitigating,2026-03-26,2026-05-10
RSK-0117,INIT-054,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Energy Efficiency & Utilities Programme (INIT-054, Cost Reduction) and reported into the monthly PMO review.",Financial,3,4,12,32000,Phase the spend; seek bridge funding from the contingency pot,Hamish Sandison,Closed,2026-07-11,2026-09-09
RSK-0118,INIT-054,Single-source dependency on niche implementation partner,"Third-party performance risk against the contracted scope and timeline. Carried on Energy Efficiency & Utilities Programme (INIT-054, Cost Reduction) and reported into the monthly PMO review.",Vendor,3,4,12,66000,Knowledge transfer clauses; second supplier pre-qualified,Hamish Sandison,Mitigating,2026-02-01,2026-03-18
RSK-0119,INIT-055,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on Third-Party Advisory Spend Control (INIT-055, Cost Reduction) and reported into the monthly PMO review.",Technical,5,5,25,93000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Struan Menzies,Mitigating,2025-07-28,2025-08-27
RSK-0120,INIT-055,FX movement erodes savings in non-GBP contracts,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Third-Party Advisory Spend Control (INIT-055, Cost Reduction) and reported into the monthly PMO review.",Financial,5,4,20,261000,Hedge material contracts; report benefits at constant currency,Clara Halvorsen,Mitigating,2025-10-06,2025-11-05
RSK-0121,INIT-055,Frontline adoption below target after go-live,"People-side risk: the change may not stick without sustained reinforcement. Carried on Third-Party Advisory Spend Control (INIT-055, Cost Reduction) and reported into the monthly PMO review.",Change/Adoption,5,3,15,114000,Super-user network; adoption dashboard tied to manager objectives,Isla Petrova,Mitigating,2025-10-12,2026-02-09
RSK-0122,INIT-055,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Third-Party Advisory Spend Control (INIT-055, Cost Reduction) and reported into the monthly PMO review.",Change/Adoption,4,5,20,191000,Early engagement with employee representatives; phased site-by-site rollout,Beatriz Farouk,Mitigating,2026-01-09,2026-03-10
RSK-0123,INIT-056,Data engineering demand exceeds the available pool,"Capacity risk arising from contention for scarce specialist skills. Carried on SOX Control Remediation (INIT-056, Risk & Compliance) and reported into the monthly PMO review.",Resource,3,3,9,51000,Prioritisation forum; contract two additional engineers,Zoya Halvorsen,Closed,2026-06-25,2026-08-09
RSK-0124,INIT-056,Environment availability constrains parallel testing,"Technical uncertainty that may require rework or additional discovery effort. Carried on SOX Control Remediation (INIT-056, Risk & Compliance) and reported into the monthly PMO review.",Technical,3,2,6,37000,Build second test environment; stagger test cycles,Zoya Halvorsen,Open,2026-06-05,2026-07-20
RSK-0125,INIT-056,Benefit case relies on headcount reductions not yet agreed,"Risk to the funding envelope or to the credibility of the benefit case. Carried on SOX Control Remediation (INIT-056, Risk & Compliance) and reported into the monthly PMO review.",Financial,2,3,6,64000,Sponsor to confirm the headcount plan; hold benefit at Low confidence,Zoya Halvorsen,Mitigating,2026-05-04,2026-08-02
RSK-0126,INIT-056,Data migration volumes exceed tested throughput,"Technical uncertainty that may require rework or additional discovery effort. Carried on SOX Control Remediation (INIT-056, Risk & Compliance) and reported into the monthly PMO review.",Technical,2,2,4,70000,Run full-volume rehearsal in pre-prod; add cutover contingency day,Struan Doherty,Mitigating,2026-04-24,2026-05-24
RSK-0127,INIT-057,Union consultation extends implementation timeline,"People-side risk: the change may not stick without sustained reinforcement. Carried on Data Privacy Programme (GDPR/CCPA) (INIT-057, Risk & Compliance) and reported into the monthly PMO review.",Change/Adoption,3,2,6,26000,Early engagement with employee representatives; phased site-by-site rollout,Priya Demir,Mitigating,2026-06-25,2026-08-24
RSK-0128,INIT-057,Capex approval deferred to the next budget cycle,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Data Privacy Programme (GDPR/CCPA) (INIT-057, Risk & Compliance) and reported into the monthly PMO review.",Financial,2,4,8,70000,Phase the spend; seek bridge funding from the contingency pot,Gregor Halvorsen,Mitigating,2026-05-17,2026-09-14
RSK-0129,INIT-058,Savings double-counted with another initiative,"Risk to the funding envelope or to the credibility of the benefit case. Carried on Cyber Security Uplift - Endpoint & SIEM (INIT-058, Risk & Compliance) and reported into the monthly PMO review.",Financial,1,2,2,13000,Benefit ownership matrix agreed with Finance; single booking point,Tessa Halvorsen,Mitigating,2025-11-23,2025-12-23
RSK-0130,INIT-059,Environment availability constrains parallel testing,"Technical uncertainty that may require rework or additional discovery effort. Carried on Data Governance & Quality Framework (INIT-059, Risk & Compliance) and reported into the monthly PMO review.",Technical,1,3,3,28000,Build second test environment; stagger test cycles,Erik Menzies,Mitigating,2026-08-15,2026-09-29
RSK-0131,INIT-060,Control evidence not retained to the required standard,"Compliance exposure if the control design is not accepted by audit or the regulator. Carried on Third-Party & Supplier Risk Management (INIT-060, Risk & Compliance) and reported into the monthly PMO review.",Regulatory,3,4,12,116000,Automate evidence capture; quarterly control self-assessment,Amara Bramley,Open,2026-12-26,2027-03-26
