initiative_id,month,planned_spend,actual_spend,cumulative_planned,cumulative_actual,forecast_spend,benefit_realized
INIT-025,2027-04,55908,,1274072,,71562,
INIT-025,2027-05,25928,,1300000,,33188,
INIT-025,2027-06,0,,1300000,,0,
INIT-025,2027-07,0,,1300000,,0,
INIT-025,2027-08,0,,1300000,,0,
INIT-025,2027-09,0,,1300000,,0,
INIT-025,2027-10,0,,1300000,,0,
INIT-025,2027-11,0,,1300000,,0,
INIT-025,2027-12,0,,1300000,,0,
INIT-026,2026-01,28124,35411,28124,35411,30699,0
INIT-026,2026-02,55093,67128,83217,102539,60138,0
INIT-026,2026-03,95504,101145,178721,203684,104250,0
INIT-026,2026-04,146505,148409,325226,352093,159921,0
INIT-026,2026-05,198880,198042,524106,550135,217092,0
INIT-026,2026-06,238909,318542,763015,868677,260787,0
INIT-026,2026-07,253969,298122,1016984,1166799,277226,0
INIT-026,2026-08,238909,,1255893,,260787,
INIT-026,2026-09,198880,,1454773,,217092,
INIT-026,2026-10,146505,,1601278,,159921,
INIT-026,2026-11,95504,,1696782,,104250,
INIT-026,2026-12,55093,,1751875,,60138,
INIT-026,2027-01,28124,,1779999,,30699,
INIT-026,2027-02,0,,1779999,,0,
INIT-026,2027-03,0,,1779999,,0,
INIT-026,2027-04,0,,1779999,,0,
INIT-026,2027-05,0,,1779999,,0,
INIT-026,2027-06,0,,1779999,,0,
INIT-026,2027-07,0,,1779999,,0,
INIT-026,2027-08,0,,1779999,,0,
INIT-026,2027-09,0,,1779999,,0,
INIT-026,2027-10,0,,1779999,,0,
INIT-026,2027-11,0,,1779999,,0,
INIT-026,2027-12,0,,1779999,,0,
INIT-027,2026-01,0,0,0,0,0,0
INIT-027,2026-02,0,0,0,0,0,0
INIT-027,2026-03,0,0,0,0,0,0
INIT-027,2026-04,0,0,0,0,0,0
INIT-027,2026-05,0,0,0,0,0,0
INIT-027,2026-06,0,0,0,0,0,0
INIT-027,2026-07,0,0,0,0,0,0
INIT-027,2026-08,25022,,25022,,24425,
INIT-027,2026-09,41675,,66697,,40680,
INIT-027,2026-10,65123,,131820,,63569,
INIT-027,2026-11,95478,,227298,,93199,
INIT-027,2026-12,131334,,358632,,128199,
INIT-027,2027-01,169494,,528126,,165448,
INIT-027,2027-02,205229,,733355,,200331,
INIT-027,2027-03,233146,,966501,,227581,
INIT-027,2027-04,248498,,1214999,,242567,
INIT-027,2027-05,248498,,1463497,,242567,
INIT-027,2027-06,233146,,1696643,,227581,
INIT-027,2027-07,205229,,1901872,,200331,
INIT-027,2027-08,169494,,2071366,,165448,
INIT-027,2027-09,131334,,2202700,,128199,
INIT-027,2027-10,95478,,2298178,,93199,
INIT-027,2027-11,65123,,2363301,,63569,
INIT-027,2027-12,41675,,2404976,,40680,
INIT-028,2026-01,0,0,0,0,0,0
INIT-028,2026-02,0,0,0,0,0,0
INIT-028,2026-03,14356,11852,14356,11852,14994,0
INIT-028,2026-04,21634,20241,35990,32093,22596,0
INIT-028,2026-05,31353,29388,67343,61481,32746,0
INIT-028,2026-06,43697,37919,111040,99400,45639,0
INIT-028,2026-07,58570,60668,169610,160068,61173,0
INIT-028,2026-08,75496,,245106,,78851,
INIT-028,2026-09,93588,,338694,,97747,
INIT-028,2026-10,111570,,450264,,116529,
INIT-028,2026-11,127914,,578178,,133599,
INIT-028,2026-12,141034,,719212,,147302,
INIT-028,2027-01,149543,,868755,,156189,
INIT-028,2027-02,152492,,1021247,,159269,
INIT-028,2027-03,149543,,1170790,,156189,
INIT-028,2027-04,141034,,1311824,,147302,
INIT-028,2027-05,127914,,1439738,,133599,
INIT-028,2027-06,111570,,1551308,,116529,
INIT-028,2027-07,93588,,1644896,,97747,
INIT-028,2027-08,75496,,1720392,,78851,
INIT-028,2027-09,58570,,1778962,,61173,
INIT-028,2027-10,43697,,1822659,,45639,
INIT-028,2027-11,31353,,1854012,,32746,
INIT-028,2027-12,21634,,1875646,,22596,
INIT-029,2026-01,16353,16369,16353,16369,16353,0
INIT-029,2026-02,32034,30225,48387,46594,32034,0
INIT-029,2026-03,55532,46803,103919,93397,55532,0
INIT-029,2026-04,85187,74781,189106,168178,85187,0
INIT-029,2026-05,115641,118308,304747,286486,115641,0
INIT-029,2026-06,138916,129907,443663,416393,138916,0
INIT-029,2026-07,147673,120011,591336,536404,147673,0
INIT-029,2026-08,138916,,730252,,138916,
INIT-029,2026-09,115641,,845893,,115641,
INIT-029,2026-10,85187,,931080,,85187,
INIT-029,2026-11,55532,,986612,,55532,
INIT-029,2026-12,32034,,1018646,,32034,
INIT-029,2027-01,16353,,1034999,,16353,
INIT-029,2027-02,0,,1034999,,0,
INIT-029,2027-03,0,,1034999,,0,
INIT-029,2027-04,0,,1034999,,0,
INIT-029,2027-05,0,,1034999,,0,
INIT-029,2027-06,0,,1034999,,0,
INIT-029,2027-07,0,,1034999,,0,
INIT-029,2027-08,0,,1034999,,0,
INIT-029,2027-09,0,,1034999,,0,
INIT-029,2027-10,0,,1034999,,0,
INIT-029,2027-11,0,,1034999,,0,
INIT-029,2027-12,0,,1034999,,0,
INIT-030,2026-01,0,0,0,0,0,0
INIT-030,2026-02,0,0,0,0,0,0
INIT-030,2026-03,0,0,0,0,0,0
INIT-030,2026-04,11829,9549,11829,9549,12108,0
INIT-030,2026-05,19241,19738,31070,29287,19695,0
INIT-030,2026-06,29556,24018,60626,53305,30253,0
INIT-030,2026-07,42876,38413,103502,91718,43887,0
INIT-030,2026-08,58738,,162240,,60123,
INIT-030,2026-09,75992,,238232,,77784,
INIT-030,2026-10,92847,,331079,,95036,
INIT-030,2026-11,107129,,438208,,109655,
INIT-030,2026-12,116732,,554940,,119484,
INIT-030,2027-01,120121,,675061,,122953,
INIT-030,2027-02,116732,,791793,,119484,
INIT-030,2027-03,107129,,898922,,109655,
INIT-030,2027-04,92847,,991769,,95036,
INIT-030,2027-05,75992,,1067761,,77784,
INIT-030,2027-06,58738,,1126499,,60123,
INIT-030,2027-07,42876,,1169375,,43887,
INIT-030,2027-08,29556,,1198931,,30253,
INIT-030,2027-09,19241,,1218172,,19695,
INIT-030,2027-10,11829,,1230001,,12108,
INIT-030,2027-11,0,,1230001,,0,
INIT-030,2027-12,0,,1230001,,0,
INIT-031,2026-01,0,0,0,0,0,0
INIT-031,2026-02,0,0,0,0,0,0
INIT-031,2026-03,0,0,0,0,0,0
INIT-031,2026-04,0,0,0,0,0,0
INIT-031,2026-05,0,0,0,0,0,0
INIT-031,2026-06,0,0,0,0,0,0
INIT-031,2026-07,0,0,0,0,0,0
INIT-031,2026-08,19268,,19268,,24433,
INIT-031,2026-09,47050,,66318,,59662,
INIT-031,2026-10,89024,,155342,,112887,
INIT-031,2026-11,130520,,285862,,165507,
INIT-031,2026-12,148274,,434136,,188020,
INIT-031,2027-01,130520,,564656,,165507,
INIT-031,2027-02,89024,,653680,,112887,
INIT-031,2027-03,47050,,700730,,59662,
INIT-031,2027-04,19268,,719998,,24433,
INIT-031,2027-05,0,,719998,,0,
INIT-031,2027-06,0,,719998,,0,
INIT-031,2027-07,0,,719998,,0,
INIT-031,2027-08,0,,719998,,0,
INIT-031,2027-09,0,,719998,,0,
INIT-031,2027-10,0,,719998,,0,
INIT-031,2027-11,0,,719998,,0,
INIT-031,2027-12,0,,719998,,0,
INIT-032,2026-01,0,0,0,0,0,0
INIT-032,2026-02,0,0,0,0,0,0
INIT-032,2026-03,0,0,0,0,0,0
INIT-032,2026-04,0,0,0,0,0,0
INIT-032,2026-05,0,0,0,0,0,0
INIT-032,2026-06,0,0,0,0,0,0
INIT-032,2026-07,17551,17278,17551,17278,17810,0
INIT-032,2026-08,37846,,55397,,38405,
INIT-032,2026-09,68796,,124193,,69812,
INIT-032,2026-10,105429,,229622,,106986,
INIT-032,2026-11,136206,,365828,,138218,
INIT-032,2026-12,148345,,514173,,150536,
INIT-032,2027-01,136206,,650379,,138218,
INIT-032,2027-02,105429,,755808,,106986,
INIT-032,2027-03,68796,,824604,,69812,
INIT-032,2027-04,37846,,862450,,38405,
INIT-032,2027-05,17551,,880001,,17810,
INIT-032,2027-06,0,,880001,,0,
INIT-032,2027-07,0,,880001,,0,
INIT-032,2027-08,0,,880001,,0,
INIT-032,2027-09,0,,880001,,0,
INIT-032,2027-10,0,,880001,,0,
INIT-032,2027-11,0,,880001,,0,
INIT-032,2027-12,0,,880001,,0,
INIT-033,2026-01,0,0,0,0,0,0
INIT-033,2026-02,0,0,0,0,0,0
INIT-033,2026-03,0,0,0,0,0,0
INIT-033,2026-04,0,0,0,0,0,0
INIT-033,2026-05,0,0,0,0,0,0
INIT-033,2026-06,0,0,0,0,0,0
INIT-033,2026-07,0,0,0,0,0,0
INIT-033,2026-08,0,,0,,0,
INIT-033,2026-09,0,,0,,0,
INIT-033,2026-10,0,,0,,0,
INIT-033,2026-11,0,,0,,0,
INIT-033,2026-12,25231,,25231,,24296,
INIT-033,2027-01,51700,,76931,,49784,
INIT-033,2027-02,91778,,168709,,88376,
INIT-033,2027-03,141149,,309858,,135918,
INIT-033,2027-04,188063,,497921,,181093,
INIT-033,2027-05,217078,,714999,,209032,
INIT-033,2027-06,217078,,932077,,209032,
INIT-033,2027-07,188063,,1120140,,181093,
INIT-033,2027-08,141149,,1261289,,135918,
INIT-033,2027-09,91778,,1353067,,88376,
INIT-033,2027-10,51700,,1404767,,49784,
INIT-033,2027-11,25231,,1429998,,24296,
INIT-033,2027-12,0,,1429998,,0,
INIT-034,2026-01,0,0,0,0,0,0
INIT-034,2026-02,0,0,0,0,0,0
INIT-034,2026-03,32641,36126,32641,36126,37211,0
INIT-034,2026-04,66885,82394,99526,118520,76249,0
INIT-034,2026-05,118734,155127,218260,273647,135357,0
INIT-034,2026-06,182606,219454,400866,493101,208171,0
INIT-034,2026-07,243299,298297,644165,791398,277361,0
INIT-034,2026-08,280836,,925001,,320153,
INIT-034,2026-09,280836,,1205837,,320153,
INIT-034,2026-10,243299,,1449136,,277361,
INIT-034,2026-11,182606,,1631742,,208171,
INIT-034,2026-12,118734,,1750476,,135357,
INIT-034,2027-01,66885,,1817361,,76249,
INIT-034,2027-02,32641,,1850002,,37211,
INIT-034,2027-03,0,,1850002,,0,
INIT-034,2027-04,0,,1850002,,0,
INIT-034,2027-05,0,,1850002,,0,
INIT-034,2027-06,0,,1850002,,0,
INIT-034,2027-07,0,,1850002,,0,
INIT-034,2027-08,0,,1850002,,0,
INIT-034,2027-09,0,,1850002,,0,
INIT-034,2027-10,0,,1850002,,0,
INIT-034,2027-11,0,,1850002,,0,
INIT-034,2027-12,0,,1850002,,0,
INIT-035,2026-01,0,0,0,0,0,0
INIT-035,2026-02,0,0,0,0,0,0
INIT-035,2026-03,14748,16641,14748,16641,19589,0
INIT-035,2026-04,38846,42430,53594,59071,51598,0
INIT-035,2026-05,74088,80232,127682,139303,98408,0
INIT-035,2026-06,102318,105312,230000,244615,135905,0
INIT-035,2026-07,102318,128241,332318,372856,135905,0
INIT-035,2026-08,74088,,406406,,98408,
INIT-035,2026-09,38846,,445252,,51598,
INIT-035,2026-10,14748,,460000,,19589,
INIT-035,2026-11,0,,460000,,0,
INIT-035,2026-12,0,,460000,,0,
INIT-035,2027-01,0,,460000,,0,
INIT-035,2027-02,0,,460000,,0,
INIT-035,2027-03,0,,460000,,0,
INIT-035,2027-04,0,,460000,,0,
INIT-035,2027-05,0,,460000,,0,
INIT-035,2027-06,0,,460000,,0,
INIT-035,2027-07,0,,460000,,0,
INIT-035,2027-08,0,,460000,,0,
INIT-035,2027-09,0,,460000,,0,
INIT-035,2027-10,0,,460000,,0,
INIT-035,2027-11,0,,460000,,0,
INIT-035,2027-12,0,,460000,,0,
INIT-036,2026-01,17026,17066,17026,17066,17012,0
INIT-036,2026-02,25262,20706,42288,37772,25241,0
INIT-036,2026-03,36162,37272,78450,75044,36131,0
INIT-036,2026-04,49941,49497,128391,124541,49899,0
INIT-036,2026-05,66540,62677,194931,187218,66484,0
INIT-036,2026-06,85533,70413,280464,257631,85461,0
INIT-036,2026-07,106072,106134,386536,363765,105982,0
INIT-036,2026-08,126909,,513445,,126801,
INIT-036,2026-09,146489,,659934,,146365,
INIT-036,2026-10,163132,,823066,,162994,
INIT-036,2026-11,175265,,998331,,175116,
INIT-036,2026-12,181666,,1179997,,181512,
INIT-036,2027-01,181666,,1361663,,181512,
INIT-036,2027-02,175265,,1536928,,175116,
INIT-036,2027-03,163132,,1700060,,162994,
INIT-036,2027-04,146489,,1846549,,146365,
INIT-036,2027-05,126909,,1973458,,126801,
INIT-036,2027-06,106072,,2079530,,105982,
INIT-036,2027-07,85533,,2165063,,85461,
INIT-036,2027-08,66540,,2231603,,66484,
INIT-036,2027-09,49941,,2281544,,49899,
INIT-036,2027-10,36162,,2317706,,36131,
INIT-036,2027-11,25262,,2342968,,25241,
INIT-036,2027-12,17026,,2359994,,17012,
INIT-037,2026-01,0,0,0,0,0,0
INIT-037,2026-02,0,0,0,0,0,0
INIT-037,2026-03,0,0,0,0,0,0
INIT-037,2026-04,0,0,0,0,0,0
INIT-037,2026-05,0,0,0,0,0,0
INIT-037,2026-06,0,0,0,0,0,0
INIT-037,2026-07,0,0,0,0,0,0
INIT-037,2026-08,0,,0,,0,
INIT-037,2026-09,0,,0,,0,
INIT-037,2026-10,0,,0,,0,
INIT-037,2026-11,14677,,14677,,14399,
INIT-037,2026-12,42114,,56791,,41317,
INIT-037,2027-01,79271,,136062,,77771,
INIT-037,2027-02,97876,,233938,,96024,
INIT-037,2027-03,79271,,313209,,77771,
INIT-037,2027-04,42114,,355323,,41317,
INIT-037,2027-05,14677,,370000,,14399,
INIT-037,2027-06,0,,370000,,0,
INIT-037,2027-07,0,,370000,,0,
INIT-037,2027-08,0,,370000,,0,
INIT-037,2027-09,0,,370000,,0,
INIT-037,2027-10,0,,370000,,0,
INIT-037,2027-11,0,,370000,,0,
INIT-037,2027-12,0,,370000,,0,
INIT-038,2026-01,0,0,0,0,0,0
INIT-038,2026-02,0,0,0,0,0,0
INIT-038,2026-03,0,0,0,0,0,0
INIT-038,2026-04,0,0,0,0,0,0
INIT-038,2026-05,0,0,0,0,0,0
INIT-038,2026-06,0,0,0,0,0,0
INIT-038,2026-07,18748,23050,18748,23050,19107,0
INIT-038,2026-08,40426,,59174,,41200,
INIT-038,2026-09,73487,,132661,,74894,
INIT-038,2026-10,112617,,245278,,114773,
INIT-038,2026-11,145492,,390770,,148278,
INIT-038,2026-12,158460,,549230,,161494,
INIT-038,2027-01,145492,,694722,,148278,
INIT-038,2027-02,112617,,807339,,114773,
INIT-038,2027-03,73487,,880826,,74894,
INIT-038,2027-04,40426,,921252,,41200,
INIT-038,2027-05,18748,,940000,,19107,
INIT-038,2027-06,0,,940000,,0,
INIT-038,2027-07,0,,940000,,0,
INIT-038,2027-08,0,,940000,,0,
INIT-038,2027-09,0,,940000,,0,
INIT-038,2027-10,0,,940000,,0,
INIT-038,2027-11,0,,940000,,0,
INIT-038,2027-12,0,,940000,,0,
INIT-039,2026-01,0,0,0,0,0,0
INIT-039,2026-02,0,0,0,0,0,0
INIT-039,2026-03,0,0,0,0,0,0
INIT-039,2026-04,0,0,0,0,0,0
INIT-039,2026-05,0,0,0,0,0,0
INIT-039,2026-06,0,0,0,0,0,0
INIT-039,2026-07,0,0,0,0,0,0
INIT-039,2026-08,18306,,18306,,20813,
INIT-039,2026-09,27586,,45892,,31363,
INIT-039,2026-10,39979,,85871,,45453,
INIT-039,2026-11,55720,,141591,,63350,
INIT-039,2026-12,74684,,216275,,84910,
INIT-039,2027-01,96268,,312543,,109450,
INIT-039,2027-02,119337,,431880,,135678,
INIT-039,2027-03,142267,,574147,,161748,
INIT-039,2027-04,163107,,737254,,185441,
INIT-039,2027-05,179836,,917090,,204461,
INIT-039,2027-06,190687,,1107777,,216798,
INIT-039,2027-07,194447,,1302224,,221073,
INIT-039,2027-08,190687,,1492911,,216798,
INIT-039,2027-09,179836,,1672747,,204461,
INIT-039,2027-10,163107,,1835854,,185441,
INIT-039,2027-11,142267,,1978121,,161748,
INIT-039,2027-12,119337,,2097458,,135678,
INIT-040,2026-01,0,0,0,0,0,0
INIT-040,2026-02,0,0,0,0,0,0
INIT-040,2026-03,0,0,0,0,0,0
INIT-040,2026-04,0,0,0,0,0,0
INIT-040,2026-05,14997,14831,14997,14831,16867,0
INIT-040,2026-06,30731,33010,45728,47841,34563,0
INIT-040,2026-07,54554,65889,100282,113730,61357,0
INIT-040,2026-08,83900,,184182,,94363,
INIT-040,2026-09,111786,,295968,,125726,
INIT-040,2026-10,129033,,425001,,145124,
INIT-040,2026-11,129033,,554034,,145124,
INIT-040,2026-12,111786,,665820,,125726,
INIT-040,2027-01,83900,,749720,,94363,
INIT-040,2027-02,54554,,804274,,61357,
INIT-040,2027-03,30731,,835005,,34563,
INIT-040,2027-04,14997,,850002,,16867,
INIT-040,2027-05,0,,850002,,0,
INIT-040,2027-06,0,,850002,,0,
INIT-040,2027-07,0,,850002,,0,
INIT-040,2027-08,0,,850002,,0,
INIT-040,2027-09,0,,850002,,0,
INIT-040,2027-10,0,,850002,,0,
INIT-040,2027-11,0,,850002,,0,
INIT-040,2027-12,0,,850002,,0,
INIT-041,2026-01,0,0,0,0,0,0
INIT-041,2026-02,17387,21848,17387,21848,20713,0
INIT-041,2026-03,25798,29364,43185,51212,30733,0
INIT-041,2026-04,36929,49078,80114,100290,43993,0
INIT-041,2026-05,50999,51381,131113,151671,60754,0
INIT-041,2026-06,67950,88898,199063,240569,80948,0
INIT-041,2026-07,87345,91994,286408,332563,104053,0
INIT-041,2026-08,108320,,394728,,129040,
INIT-041,2026-09,129598,,524326,,154388,
INIT-041,2026-10,149593,,673919,,178208,
INIT-041,2026-11,166588,,840507,,198454,
INIT-041,2026-12,178979,,1019486,,213215,
INIT-041,2027-01,185515,,1205001,,221001,
INIT-041,2027-02,185515,,1390516,,221001,
INIT-041,2027-03,178979,,1569495,,213215,
INIT-041,2027-04,166588,,1736083,,198454,
INIT-041,2027-05,149593,,1885676,,178208,
INIT-041,2027-06,129598,,2015274,,154388,
INIT-041,2027-07,108320,,2123594,,129040,
INIT-041,2027-08,87345,,2210939,,104053,
INIT-041,2027-09,67950,,2278889,,80948,
INIT-041,2027-10,50999,,2329888,,60754,
INIT-041,2027-11,36929,,2366817,,43993,
INIT-041,2027-12,25798,,2392615,,30733,
INIT-042,2026-01,0,0,0,0,0,0
INIT-042,2026-02,0,0,0,0,0,0
INIT-042,2026-03,0,0,0,0,0,0
INIT-042,2026-04,0,0,0,0,0,0
INIT-042,2026-05,0,0,0,0,0,0
INIT-042,2026-06,24046,21422,24046,21422,23244,0
INIT-042,2026-07,63335,53571,87381,74993,61224,0
INIT-042,2026-08,120796,,208177,,116769,
INIT-042,2026-09,166823,,375000,,161262,
INIT-042,2026-10,166823,,541823,,161262,
INIT-042,2026-11,120796,,662619,,116769,
INIT-042,2026-12,63335,,725954,,61224,
INIT-042,2027-01,24046,,750000,,23244,
INIT-042,2027-02,0,,750000,,0,
INIT-042,2027-03,0,,750000,,0,
INIT-042,2027-04,0,,750000,,0,
INIT-042,2027-05,0,,750000,,0,
INIT-042,2027-06,0,,750000,,0,
INIT-042,2027-07,0,,750000,,0,
INIT-042,2027-08,0,,750000,,0,
INIT-042,2027-09,0,,750000,,0,
INIT-042,2027-10,0,,750000,,0,
INIT-042,2027-11,0,,750000,,0,
INIT-042,2027-12,0,,750000,,0,
INIT-043,2026-01,0,0,0,0,0,0
INIT-043,2026-02,0,0,0,0,0,0
INIT-043,2026-03,0,0,0,0,0,0
INIT-043,2026-04,0,0,0,0,0,0
INIT-043,2026-05,0,0,0,0,0,0
INIT-043,2026-06,0,0,0,0,0,0
INIT-043,2026-07,0,0,0,0,0,0
INIT-043,2026-08,0,,0,,0,
INIT-043,2026-09,0,,0,,0,
INIT-043,2026-10,0,,0,,0,
INIT-043,2026-11,0,,0,,0,
INIT-043,2026-12,0,,0,,0,
INIT-043,2027-01,0,,0,,0,
INIT-043,2027-02,36068,,36068,,36421,
INIT-043,2027-03,95003,,131071,,95932,
INIT-043,2027-04,181194,,312265,,182966,
INIT-043,2027-05,250235,,562500,,252682,
INIT-043,2027-06,250235,,812735,,252682,
INIT-043,2027-07,181194,,993929,,182966,
INIT-043,2027-08,95003,,1088932,,95932,
INIT-043,2027-09,36068,,1125000,,36421,
INIT-043,2027-10,0,,1125000,,0,
INIT-043,2027-11,0,,1125000,,0,
INIT-043,2027-12,0,,1125000,,0,
INIT-044,2026-01,0,0,0,0,0,0
INIT-044,2026-02,0,0,0,0,0,0
INIT-044,2026-03,0,0,0,0,0,0
INIT-044,2026-04,0,0,0,0,0,0
INIT-044,2026-05,0,0,0,0,0,0
INIT-044,2026-06,21122,27816,21122,27816,24251,0
INIT-044,2026-07,38367,41518,59489,69334,44051,0
INIT-044,2026-08,63577,,123066,,72996,
INIT-044,2026-09,96109,,219175,,110347,
INIT-044,2026-10,132539,,351714,,152174,
INIT-044,2026-11,166741,,518455,,191443,
INIT-044,2026-12,191366,,709821,,219717,
INIT-044,2027-01,200357,,910178,,230040,
INIT-044,2027-02,191366,,1101544,,219717,
INIT-044,2027-03,166741,,1268285,,191443,
INIT-044,2027-04,132539,,1400824,,152174,
INIT-044,2027-05,96109,,1496933,,110347,
INIT-044,2027-06,63577,,1560510,,72996,
INIT-044,2027-07,38367,,1598877,,44051,
INIT-044,2027-08,21122,,1619999,,24251,
INIT-044,2027-09,0,,1619999,,0,
INIT-044,2027-10,0,,1619999,,0,
INIT-044,2027-11,0,,1619999,,0,
INIT-044,2027-12,0,,1619999,,0,
INIT-045,2026-01,0,0,0,0,0,0
INIT-045,2026-02,0,0,0,0,0,0
INIT-045,2026-03,0,0,0,0,0,0
INIT-045,2026-04,0,0,0,0,0,0
INIT-045,2026-05,0,0,0,0,0,0
INIT-045,2026-06,0,0,0,0,0,0
INIT-045,2026-07,0,0,0,0,0,0
INIT-045,2026-08,0,,0,,0,
INIT-045,2026-09,0,,0,,0,
INIT-045,2026-10,0,,0,,0,
INIT-045,2026-11,0,,0,,0,
INIT-045,2026-12,0,,0,,0,
INIT-045,2027-01,0,,0,,0,
INIT-045,2027-02,0,,0,,0,
INIT-045,2027-03,0,,0,,0,
INIT-045,2027-04,0,,0,,0,
INIT-045,2027-05,0,,0,,0,
INIT-045,2027-06,0,,0,,0,
INIT-045,2027-07,30897,,30897,,29798,
INIT-045,2027-08,70604,,101501,,68094,
INIT-045,2027-09,131226,,232727,,126560,
INIT-045,2027-10,198373,,431100,,191320,
INIT-045,2027-11,243900,,675000,,235228,
INIT-045,2027-12,243900,,918900,,235228,
INIT-046,2026-01,0,0,0,0,0,0
INIT-046,2026-02,0,0,0,0,0,0
INIT-046,2026-03,0,0,0,0,0,0
INIT-046,2026-04,0,0,0,0,0,0
INIT-046,2026-05,0,0,0,0,0,0
INIT-046,2026-06,0,0,0,0,0,0
INIT-046,2026-07,0,0,0,0,0,0
INIT-046,2026-08,0,,0,,0,
INIT-046,2026-09,0,,0,,0,
INIT-046,2026-10,0,,0,,0,
INIT-046,2026-11,0,,0,,0,
INIT-046,2026-12,0,,0,,0,
INIT-046,2027-01,0,,0,,0,
INIT-046,2027-02,32157,,32157,,30628,
INIT-046,2027-03,60529,,92686,,57651,
INIT-046,2027-04,102535,,195221,,97659,
INIT-046,2027-05,156312,,351533,,148878,
INIT-046,2027-06,214455,,565988,,204256,
INIT-046,2027-07,264787,,830775,,252195,
INIT-046,2027-08,294224,,1124999,,280232,
INIT-046,2027-09,294224,,1419223,,280232,
INIT-046,2027-10,264787,,1684010,,252195,
INIT-046,2027-11,214455,,1898465,,204256,
INIT-046,2027-12,156312,,2054777,,148878,
INIT-047,2026-01,0,0,0,0,0,0
INIT-047,2026-02,0,0,0,0,0,0
INIT-047,2026-03,0,0,0,0,0,0
INIT-047,2026-04,0,0,0,0,0,0
INIT-047,2026-05,0,0,0,0,0,0
INIT-047,2026-06,0,0,0,0,0,0
INIT-047,2026-07,0,0,0,0,0,0
INIT-047,2026-08,0,,0,,0,
INIT-047,2026-09,0,,0,,0,
INIT-047,2026-10,0,,0,,0,
INIT-047,2026-11,0,,0,,0,
INIT-047,2026-12,0,,0,,0,
INIT-047,2027-01,26598,,26598,,27745,
INIT-047,2027-02,48314,,74912,,50398,
INIT-047,2027-03,80060,,154972,,83514,
INIT-047,2027-04,121026,,275998,,126247,
INIT-047,2027-05,166901,,442899,,174101,
INIT-047,2027-06,209971,,652870,,219029,
INIT-047,2027-07,240979,,893849,,251374,
INIT-047,2027-08,252301,,1146150,,263185,
INIT-047,2027-09,240979,,1387129,,251374,
INIT-047,2027-10,209971,,1597100,,219029,
INIT-047,2027-11,166901,,1764001,,174101,
INIT-047,2027-12,121026,,1885027,,126247,
INIT-048,2026-01,0,0,0,0,0,0
INIT-048,2026-02,0,0,0,0,0,0
INIT-048,2026-03,21081,27285,21081,27285,21224,0
INIT-048,2026-04,39680,42851,60761,70136,39949,0
INIT-048,2026-05,67217,76964,127978,147100,67673,0
INIT-048,2026-06,102471,100027,230449,247127,103166,0
INIT-048,2026-07,140587,139906,371036,387033,141540,0
INIT-048,2026-08,173583,,544619,,174760,
INIT-048,2026-09,192880,,737499,,194188,
INIT-048,2026-10,192880,,930379,,194188,
INIT-048,2026-11,173583,,1103962,,174760,
INIT-048,2026-12,140587,,1244549,,141540,
INIT-048,2027-01,102471,,1347020,,103166,
INIT-048,2027-02,67217,,1414237,,67673,
INIT-048,2027-03,39680,,1453917,,39949,
INIT-048,2027-04,21081,,1474998,,21224,
INIT-048,2027-05,0,,1474998,,0,
INIT-048,2027-06,0,,1474998,,0,
INIT-048,2027-07,0,,1474998,,0,
INIT-048,2027-08,0,,1474998,,0,
INIT-048,2027-09,0,,1474998,,0,
INIT-048,2027-10,0,,1474998,,0,
INIT-048,2027-11,0,,1474998,,0,
INIT-048,2027-12,0,,1474998,,0,
INIT-049,2026-01,0,0,0,0,0,0
INIT-049,2026-02,0,0,0,0,0,0
INIT-049,2026-03,0,0,0,0,0,0
INIT-049,2026-04,0,0,0,0,0,0
INIT-049,2026-05,0,0,0,0,0,0
INIT-049,2026-06,18644,17146,18644,17146,18786,0
INIT-049,2026-07,36522,36940,55166,54086,36801,0
INIT-049,2026-08,63312,,118478,,63795,
INIT-049,2026-09,97122,,215600,,97863,
INIT-049,2026-10,131842,,347442,,132848,
INIT-049,2026-11,158378,,505820,,159586,
INIT-049,2026-12,168361,,674181,,169645,
INIT-049,2027-01,158378,,832559,,159586,
INIT-049,2027-02,131842,,964401,,132848,
INIT-049,2027-03,97122,,1061523,,97863,
INIT-049,2027-04,63312,,1124835,,63795,
INIT-049,2027-05,36522,,1161357,,36801,
INIT-049,2027-06,18644,,1180001,,18786,
INIT-049,2027-07,0,,1180001,,0,
INIT-049,2027-08,0,,1180001,,0,
INIT-049,2027-09,0,,1180001,,0,
INIT-049,2027-10,0,,1180001,,0,
INIT-049,2027-11,0,,1180001,,0,
INIT-049,2027-12,0,,1180001,,0,
INIT-050,2026-01,0,0,0,0,0,0
INIT-050,2026-02,28945,30766,28945,30766,32987,0
INIT-050,2026-03,52577,57280,81522,88046,59919,0
INIT-050,2026-04,87125,102796,168647,190842,99291,0
INIT-050,2026-05,131705,151880,300352,342722,150096,0
INIT-050,2026-06,181627,202019,481979,544741,206989,0
INIT-050,2026-07,228498,282357,710477,827098,260405,0
INIT-050,2026-08,262242,,972719,,298861,
INIT-050,2026-09,274563,,1247282,,312903,
INIT-050,2026-10,262242,,1509524,,298861,
INIT-050,2026-11,228498,,1738022,,260405,
INIT-050,2026-12,181627,,1919649,,206989,
INIT-050,2027-01,131705,,2051354,,150096,
INIT-050,2027-02,87125,,2138479,,99291,
