initiative_id,name,function,pillar,owner,sponsor,business_unit,description,objective,start_date,end_date,duration_months,stage,rag_status,percent_complete,priority_score,strategic_alignment,value_confidence,complexity,effort_fte,capex,opex,total_budget,spend_to_date,forecast_at_completion,annual_benefit_target,benefit_type,benefit_start_month,benefit_ramp_months,npv,payback_months,run_rate_savings,resource_type_needed,key_systems,region,is_regulatory,tags
INIT-049,Customer Self-Service Portal,Growth / Commercial,Run Better,Hamish Lindqvist,MD Energy Solutions,Corporate Functions,Open a route to revenue that the current commercial model does not serve through customer self-service portal. A pilot in one region proves the operating model before the group-wide rollout is committed. Benefits are tracked as run-rate savings validated jointly with Finance.,Reduce third-party spend through consolidation and renegotiation,2026-06-30,2027-06-30,12,In Flight,Green,12,100,5,High,1,2.5,377000,803000,1180000,138958,1189000,1020000,Cost Save,12,9,2084000,26,1020000,Commercial Analyst,Azure; Salesforce,UK & Ireland,False,customer-facing; data-dependent; people-impact; site-based
INIT-050,Indirect Spend Category Reset,Cost Reduction,Cost Out,Beatriz Mehta,Group CFO,Energy Solutions,Take structural cost out of the base without damaging service through indirect spend category reset. The team works with the affected functions to agree the target-state process before build starts. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2026-02-19,2027-04-19,14,At Risk,Amber,36,58,2,Med,5,7.6,200000,2020000,2220000,827020,2530000,3550000,Cost Save,16,12,9140000,24,3550000,Commercial Analyst,Snowflake,Nordics,False,cash-release; quick-win
INIT-051,Real Estate Footprint Rationalisation,Cost Reduction,Cost Out,Yusuf Sandison,Group CFO,Digital & Customer,"Take structural cost out of the base without damaging service through real estate footprint rationalisation. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Benefits are tracked as run-rate savings validated jointly with Finance.",Reduce third-party spend through consolidation and renegotiation,2026-12-02,2028-06-02,18,Business Case,Amber,0,74,4,High,5,9.0,305000,1040000,1345000,0,1467000,1240000,Cost Save,21,9,2623000,34,1240000,Business Analyst,Workday,Benelux,False,cash-release; commercial; foundational; site-based
INIT-052,IT Application Portfolio Rationalisation,Cost Reduction,Cost Out,Freya Mehta,Group Procurement Director,Digital & Customer,Take structural cost out of the base without damaging service through it application portfolio rationalisation. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2026-08-18,2027-04-18,8,Business Case,Green,0,61,2,Med,3,4.1,214000,686000,900000,0,906000,980000,Cost Save,9,12,2815000,20,980000,Business Analyst,SAP S/4HANA,North America,False,automation; cross-function; efficiency; site-based
INIT-053,Telecoms & Connectivity Renegotiation,Cost Reduction,Cost Out,Freya Mendes,Group Procurement Director,Digital & Customer,Take structural cost out of the base without damaging service through telecoms & connectivity renegotiation. The team works with the affected functions to agree the target-state process before build starts. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2025-11-24,2027-07-24,20,In Flight,Red,25,70,4,Med,4,9.9,296000,1104000,1400000,498905,1617000,1300000,Cost Save,23,4,2760000,36,1300000,Commercial Analyst,Azure; Tableau,UK & Ireland,False,board-visible; cross-function; operating-model
INIT-054,Energy Efficiency & Utilities Programme,Cost Reduction,Cost Out,Hamish Sandison,Group CFO,Industrial Services,Take structural cost out of the base without damaging service through energy efficiency & utilities programme. A pilot in one region proves the operating model before the group-wide rollout is committed. Value is booked as cost avoided versus the do-nothing forecast.,Defer capital replacement through better asset utilisation,2026-02-19,2026-10-19,8,Paused,Amber,67,100,5,High,1,2.9,156000,649000,805000,567325,876000,1180000,Cost Avoidance,11,3,3668000,19,1180000,Procurement Category Manager,Archer GRC; Kronos; MuleSoft,DACH,False,commercial; customer-facing; foundational; quick-win
INIT-055,Third-Party Advisory Spend Control,Cost Reduction,Cost Out,Isla Petrova,Group Procurement Director,Digital & Customer,Take structural cost out of the base without damaging service through third-party advisory spend control. Delivery is phased by business unit so that lessons from the pilot site inform the wider rollout. Benefits are tracked as run-rate savings validated jointly with Finance.,Deliver a sustainable reduction in run-rate operating cost,2025-08-04,2026-11-04,15,At Risk,Red,45,70,4,Low,3,5.5,87000,1258000,1345000,763757,1945000,1660000,Cost Save,15,4,3967000,25,1660000,Procurement Category Manager,Workday,North America,False,cash-release; data-dependent; site-based
INIT-056,SOX Control Remediation,Risk & Compliance,Protect,Zoya Halvorsen,Group General Counsel,Digital & Customer,Close known control gaps and bring residual risk back inside appetite through sox control remediation. The team works with the affected functions to agree the target-state process before build starts. Value is expressed as reduced residual risk exposure rather than cash.,Reduce residual risk exposure to within board-agreed appetite,2026-03-18,2027-04-18,13,In Flight,Amber,35,65,4,Low,5,10.4,272000,1208000,1480000,583510,1558000,450000,Risk Reduction,15,6,-40000,54,157500,Compliance Specialist,MuleSoft; OneTrust; SAP S/4HANA,Nordics,True,automation; board-visible; commercial; efficiency
INIT-057,Data Privacy Programme (GDPR/CCPA),Risk & Compliance,Protect,Clara Sandison,Group General Counsel,Digital & Customer,Close known control gaps and bring residual risk back inside appetite through data privacy programme (gdpr/ccpa). Work is sequenced behind the foundational platform initiatives to avoid rework. Value is expressed as reduced residual risk exposure rather than cash.,Reduce residual risk exposure to within board-agreed appetite,2026-05-05,2027-04-05,11,In Flight,Green,28,87,5,Low,1,2.1,219000,526000,745000,218794,698000,100000,Risk Reduction,12,9,-425000,101,35000,Business Analyst,AWS,Group-wide,True,automation; data-dependent; vendor-led
INIT-058,Cyber Security Uplift - Endpoint & SIEM,Risk & Compliance,Protect,Tessa Halvorsen,Chief Risk Officer,Distribution & Logistics,Close known control gaps and bring residual risk back inside appetite through cyber security uplift - endpoint & siem. The team works with the affected functions to agree the target-state process before build starts. Value is expressed as reduced residual risk exposure rather than cash.,Meet regulatory obligations and close known audit findings,2025-09-12,2026-12-12,15,In Flight,Green,73,75,4,Low,2,4.3,245000,760000,1005000,730749,976000,290000,Risk Reduction,16,6,-77000,58,101500,Business Analyst,AWS; Salesforce; Workday,Group-wide,True,cross-function; data-dependent; efficiency; quick-win
INIT-059,Data Governance & Quality Framework,Risk & Compliance,Protect,Erik Menzies,Chief Risk Officer,Digital & Customer,"Close known control gaps and bring residual risk back inside appetite through data governance & quality framework. Scope is deliberately held to one function in the first phase, with cross-function extension in phase two. Value is expressed as reduced residual risk exposure rather than cash.",Reduce residual risk exposure to within board-agreed appetite,2026-09-29,2027-08-29,11,Idea,Green,0,73,4,Low,2,4.5,145000,1010000,1155000,0,1203000,230000,Risk Reduction,14,6,-419000,74,80500,Compliance Specialist,Mainframe OMS,Nordics,True,automation; cash-release
INIT-060,Third-Party & Supplier Risk Management,Risk & Compliance,Protect,Amara Bramley,Group General Counsel,Energy Solutions,Close known control gaps and bring residual risk back inside appetite through third-party & supplier risk management. The team works with the affected functions to agree the target-state process before build starts. Value is expressed as reduced residual risk exposure rather than cash.,Reduce residual risk exposure to within board-agreed appetite,2027-02-09,2028-03-09,13,Approved,Green,0,84,4,Med,2,4.7,261000,1159000,1420000,0,1472000,190000,Risk Reduction,16,6,-812000,106,66500,Solution Architect,Kinaxis,North America,True,commercial; people-impact; site-based
