milestone_id,initiative_id,name,type,baseline_date,forecast_date,actual_date,status,slip_days,owner
MS-0229,INIT-054,Stage Gate 2 - Ready for Test,Gate,2026-08-07,2026-08-17,,In Progress,10,Hamish Sandison
MS-0230,INIT-054,Go-Live,Go-Live,2026-09-24,2026-10-12,,Not Started,18,Hamish Sandison
MS-0231,INIT-054,Benefit Checkpoint 1,Benefit Checkpoint,2026-10-19,2026-11-13,,In Progress,25,Lena Halvorsen
MS-0232,INIT-055,Mobilisation & Scope Sign-Off,Gate,2025-08-26,2025-09-16,,Missed,21,Isla Petrova
MS-0233,INIT-055,Design Complete,Deliverable,2025-12-19,2026-02-02,2026-02-02,Complete,45,Isla Petrova
MS-0234,INIT-055,Go-Live,Go-Live,2026-09-19,2026-11-18,,Not Started,60,Bjorn Rahman
MS-0235,INIT-056,Mobilisation & Scope Sign-Off,Gate,2026-04-06,2026-04-24,2026-04-24,Complete,18,Zoya Halvorsen
MS-0236,INIT-056,Design Complete,Deliverable,2026-07-14,2026-07-19,2026-07-19,Complete,5,Nadia Demir
MS-0237,INIT-056,Build Complete,Deliverable,2026-10-21,2026-10-26,,Not Started,5,Nadia Adeyemi
MS-0238,INIT-056,Stage Gate 2 - Ready for Test,Gate,2026-12-20,2026-12-30,,In Progress,10,Zoya Halvorsen
MS-0239,INIT-056,Go-Live,Go-Live,2027-03-09,2027-03-27,,In Progress,18,Yusuf Kaur
MS-0240,INIT-056,Benefit Checkpoint 1,Benefit Checkpoint,2027-04-18,2027-05-06,,In Progress,18,Zoya Halvorsen
MS-0241,INIT-057,Mobilisation & Scope Sign-Off,Gate,2026-05-21,2026-05-21,2026-05-21,Complete,0,Bjorn Demir
MS-0242,INIT-057,Design Complete,Deliverable,2026-08-13,2026-08-13,,Not Started,0,Tomas Reinholt
MS-0243,INIT-057,Stage Gate 2 - Ready for Test,Gate,2026-12-25,2026-12-25,,In Progress,0,Clara Sandison
MS-0244,INIT-057,Go-Live,Go-Live,2027-03-02,2027-03-02,,Not Started,0,Clara Sandison
MS-0245,INIT-057,Benefit Checkpoint 1,Benefit Checkpoint,2027-04-05,2027-04-08,,In Progress,3,Beatriz Mehta
MS-0246,INIT-058,Mobilisation & Scope Sign-Off,Gate,2025-10-04,2025-10-04,2025-10-04,Complete,0,Amara Adeyemi
MS-0247,INIT-058,Design Complete,Deliverable,2026-01-26,2026-01-26,2026-01-26,Complete,0,Hamish Lindqvist
MS-0248,INIT-058,Go-Live,Go-Live,2026-10-27,2026-11-03,,Not Started,7,Nadia Boateng
MS-0249,INIT-059,Mobilisation & Scope Sign-Off,Gate,2026-10-15,2026-10-15,,Not Started,0,Erik Menzies
MS-0250,INIT-059,Design Complete,Deliverable,2027-01-07,2027-01-07,,Not Started,0,Amara Demir
MS-0251,INIT-059,Build Complete,Deliverable,2027-03-31,2027-04-03,,Not Started,3,Erik Menzies
MS-0252,INIT-059,Stage Gate 2 - Ready for Test,Gate,2027-05-20,2027-05-27,,Not Started,7,Erik Menzies
MS-0253,INIT-059,Go-Live,Go-Live,2027-07-26,2027-07-26,,Not Started,0,Erik Menzies
MS-0254,INIT-059,Benefit Checkpoint 1,Benefit Checkpoint,2027-08-29,2027-08-29,,Not Started,0,Beatriz Ferreira
MS-0255,INIT-060,Mobilisation & Scope Sign-Off,Gate,2027-02-28,2027-03-07,,Not Started,7,Freya Mendes
MS-0256,INIT-060,Build Complete,Deliverable,2027-09-13,2027-09-13,,Not Started,0,Beatriz Sandison
MS-0257,INIT-060,Stage Gate 2 - Ready for Test,Gate,2027-11-11,2027-11-11,,Not Started,0,Amara Bramley
MS-0258,INIT-060,Go-Live,Go-Live,2028-01-29,2028-02-01,,Not Started,3,Amara Bramley
MS-0259,INIT-060,Benefit Checkpoint 1,Benefit Checkpoint,2028-03-09,2028-03-09,,Not Started,0,Amara Bramley
