role,month,quarter,available_fte,demanded_fte,gap_fte,utilisation_pct,over_allocated
Commercial Analyst,2026-12,2026Q4,25.4,22.1,3.3,87.0,FALSE
Commercial Analyst,2027-01,2027Q1,26.9,21.5,5.4,79.9,FALSE
Commercial Analyst,2027-02,2027Q1,26.9,21.9,5.0,81.4,FALSE
Commercial Analyst,2027-03,2027Q1,27.1,20.8,6.3,76.8,FALSE
Commercial Analyst,2027-04,2027Q2,27.4,19.0,8.4,69.3,FALSE
Commercial Analyst,2027-05,2027Q2,27.4,15.2,12.2,55.5,FALSE
Commercial Analyst,2027-06,2027Q2,27.6,14.2,13.4,51.4,FALSE
Commercial Analyst,2027-07,2027Q3,26.0,12.8,13.2,49.2,FALSE
Commercial Analyst,2027-08,2027Q3,26.1,9.0,17.1,34.5,FALSE
Commercial Analyst,2027-09,2027Q3,27.6,7.7,19.9,27.9,FALSE
Commercial Analyst,2027-10,2027Q4,28.1,7.5,20.6,26.7,FALSE
Commercial Analyst,2027-11,2027Q4,28.1,7.2,20.9,25.6,FALSE
Commercial Analyst,2027-12,2027Q4,26.2,7.0,19.2,26.7,FALSE
